DRUG_ID,ICD,DRUG_DESC,ICD_NAME
10395,001.0,Tetracycline,Cholera due to Vibrio cholerae
8004,001.9,Pentobarbital,Cholera NOS
6980,001.9,Minocycline,Cholera NOS
602738,001.9,Saccharomyces boulardii lyo,Cholera NOS
59838,001.9,Halazone,Cholera NOS
2915,001.9,Creosote,Cholera NOS
7676,001.9,Opium,Cholera NOS
142446,001.9,tetracycline hydrochloride,Cholera NOS
221134,001.9,opium tincture,Cholera NOS
7821,001.9,Oxytetracycline,Cholera NOS
18631,001.9,Azithromycin,Cholera NOS
2348,001.9,Chloramphenicol,Cholera NOS
81993,001.9,Demeclocycline Hydrochloride,Cholera NOS
4601,001.9,Furazolidone,Cholera NOS
23663,001.9,doxycycline hyclate,Cholera NOS
3154,001.9,Demeclocycline,Cholera NOS
8134,001.9,Phenobarbital,Cholera NOS
236782,001.9,Saccharomyces boulardii,Cholera NOS
10395,001.9,Tetracycline,Cholera NOS
10831,001.9,Sulfamethoxazole / Trimethoprim,Cholera NOS
3640,001.9,Doxycycline,Cholera NOS
7517,002.0,Norfloxacin,Typhoid fever
762595,002.0,Typhoid Vaccine Live Ty21a,Typhoid fever
18631,002.0,Azithromycin,Typhoid fever
807219,002.0,Typhoid Vi Polysaccharide Vaccine  S typhi Ty2 strain,Typhoid fever
2348,002.0,Chloramphenicol,Typhoid fever
733,002.0,Ampicillin,Typhoid fever
2551,002.0,Ciprofloxacin,Typhoid fever
2193,002.0,Ceftriaxone,Typhoid fever
7517,002.9,Norfloxacin,Paratyphoid fever NOS
59838,002.9,Halazone,Paratyphoid fever NOS
1390,003.9,Benzethonium,Salmonella infection NOS
618425,003.9,Nalidixate,Salmonella infection NOS
40036,003.9,Benzethonium Chloride,Salmonella infection NOS
40968,003.9,diclofenac epolamine,Salmonella infection NOS
60334,003.9,risedronate sodium,Salmonella infection NOS
7623,003.9,Ofloxacin,Salmonella infection NOS
7980,003.9,Penicillin G,Salmonella infection NOS
901317,003.9,spinach allergenic extract,Salmonella infection NOS
2348,003.9,Chloramphenicol,Salmonella infection NOS
5920,003.9,Intrinsic factor,Salmonella infection NOS
2186,003.9,Cefotaxime,Salmonella infection NOS
7240,003.9,Nalidixic Acid,Salmonella infection NOS
139462,003.9,moxifloxacin,Salmonella infection NOS
18631,003.9,Azithromycin,Salmonella infection NOS
60212,003.9,Atovaquone,Salmonella infection NOS
18469,003.9,sparfloxacin,Salmonella infection NOS
733,003.9,Ampicillin,Salmonella infection NOS
10831,003.9,Sulfamethoxazole / Trimethoprim,Salmonella infection NOS
2396,003.9,Chlorothiazide,Salmonella infection NOS
3640,003.9,Doxycycline,Salmonella infection NOS
2551,003.9,Ciprofloxacin,Salmonella infection NOS
2184,003.9,Cefoperazone,Salmonella infection NOS
2193,003.9,Ceftriaxone,Salmonella infection NOS
4601,003.9,Furazolidone,Salmonella infection NOS
203214,003.9,Diclofenac Sodium,Salmonella infection NOS
892507,003.9,almond allergenic extract,Salmonella infection NOS
228476,003.9,gatifloxacin,Salmonella infection NOS
81997,003.9,Diclofenac Potassium,Salmonella infection NOS
807219,003.9,Typhoid Vi Polysaccharide Vaccine  S typhi Ty2 strain,Salmonella infection NOS
82122,003.9,Levofloxacin,Salmonella infection NOS
3355,003.9,Diclofenac,Salmonella infection NOS
762595,003.9,Typhoid Vaccine Live Ty21a,Salmonella infection NOS
10831,004,Sulfamethoxazole / Trimethoprim,Shigellosis
5942,004,Clioquinol,Shigellosis
2551,004.0,Ciprofloxacin,Shigella dysenteriae
2551,004.1,Ciprofloxacin,Shigella flexneri
10831,004.1,Sulfamethoxazole / Trimethoprim,Shigella flexneri
2551,004.2,Ciprofloxacin,Shigella boydii
2551,004.3,Ciprofloxacin,Shigella sonnei
10831,004.3,Sulfamethoxazole / Trimethoprim,Shigella sonnei
4601,004.9,Furazolidone,Shigellosis NOS
6468,004.9,Loperamide,Shigellosis NOS
237148,004.9,BISMUTH-FORMIC-IODIDE,Shigellosis NOS
47181,004.9,bismuth subcitrate,Shigellosis NOS
19478,004.9,bismuth subsalicylate,Shigellosis NOS
733,004.9,Ampicillin,Shigellosis NOS
10831,004.9,Sulfamethoxazole / Trimethoprim,Shigellosis NOS
82038,004.9,Loperamide Hydrochloride,Shigellosis NOS
19476,004.9,bismuth subgallate,Shigellosis NOS
5942,004.9,Clioquinol,Shigellosis NOS
265647,005.1,Garlic preparation,Botulism food poisoning
860189,005.1,onabotulinumtoxinA,Botulism food poisoning
860178,005.1,rimabotulinumtoxinB,Botulism food poisoning
9894,005.1,Sodium Nitrite,Botulism food poisoning
860168,005.1,abobotulinumtoxinA,Botulism food poisoning
50675,005.1,Guanidine,Botulism food poisoning
899414,005.1,garlic allergenic extract,Botulism food poisoning
1000104,005.1,incobotulinumtoxin A,Botulism food poisoning
889591,005.9,mackerel allergenic extract,Food poisoning NOS
892665,005.9,cow milk allergenic extract,Food poisoning NOS
20863,006,chloroquine phosphate,Amebiasis
3820,006,Emetine,Amebiasis
4056,006,Erythromycin Ethylsuccinate,Amebiasis
23663,006,doxycycline hyclate,Amebiasis
31819,006,nitazoxanide,Amebiasis
3154,006,Demeclocycline,Amebiasis
3640,006,Doxycycline,Amebiasis
81993,006,Demeclocycline Hydrochloride,Amebiasis
6922,006,Metronidazole,Amebiasis
6980,006,Minocycline,Amebiasis
7934,006,Paromomycin,Amebiasis
1227,006,Auranofin,Amebiasis
10395,006,Tetracycline,Amebiasis
10612,006,Tinidazole,Amebiasis
3435,006,Iodoquinol,Amebiasis
4053,006,Erythromycin,Amebiasis
451796,006,Chloroquine hydrochloride,Amebiasis
7821,006,Oxytetracycline,Amebiasis
2393,006,Chloroquine,Amebiasis
20206,006,Carbarson,Amebiasis
10612,006.3,Tinidazole,Amebic liver abscess
6922,006.3,Metronidazole,Amebic liver abscess
1227,006.9,Auranofin,Amebiasis NOS
3154,006.9,Demeclocycline,Amebiasis NOS
4053,006.9,Erythromycin,Amebiasis NOS
20863,006.9,chloroquine phosphate,Amebiasis NOS
31819,006.9,nitazoxanide,Amebiasis NOS
3640,006.9,Doxycycline,Amebiasis NOS
81993,006.9,Demeclocycline Hydrochloride,Amebiasis NOS
6922,006.9,Metronidazole,Amebiasis NOS
6980,006.9,Minocycline,Amebiasis NOS
2393,006.9,Chloroquine,Amebiasis NOS
10395,006.9,Tetracycline,Amebiasis NOS
20206,006.9,Carbarson,Amebiasis NOS
3435,006.9,Iodoquinol,Amebiasis NOS
4056,006.9,Erythromycin Ethylsuccinate,Amebiasis NOS
451796,006.9,Chloroquine hydrochloride,Amebiasis NOS
7821,006.9,Oxytetracycline,Amebiasis NOS
23663,006.9,doxycycline hyclate,Amebiasis NOS
7934,006.9,Paromomycin,Amebiasis NOS
3820,006.9,Emetine,Amebiasis NOS
10612,006.9,Tinidazole,Amebiasis NOS
7821,007.0,Oxytetracycline,Balantidiasis
142446,007.0,tetracycline hydrochloride,Balantidiasis
10395,007.0,Tetracycline,Balantidiasis
10612,007.1,Tinidazole,Giardiasis
6922,007.1,Metronidazole,Giardiasis
31819,007.1,nitazoxanide,Giardiasis
59838,007.1,Halazone,Giardiasis
430,007.1,Albendazole,Giardiasis
4601,007.1,Furazolidone,Giardiasis
31819,007.2,nitazoxanide,Coccidiosis
892653,007.2,chicken allergenic extract,Coccidiosis
7934,007.4,Paromomycin,Cryptosporidiosis
59838,007.4,Halazone,Cryptosporidiosis
31819,007.4,nitazoxanide,Cryptosporidiosis
31819,007.5,nitazoxanide,Cyclosporiasis
7268,007.8,Natamycin,Other specified protozoal intestinal diseases
3435,007.8,Iodoquinol,Other specified protozoal intestinal diseases
5942,007.8,Clioquinol,Other specified protozoal intestinal diseases
11124,008.41,Vancomycin,Intestinal infection due to staphylococcus
24351,008.43,erythromycin stearate,Intestinal infection due to campylobacter
24346,008.43,Erythromycin Gluceptate,Intestinal infection due to campylobacter
4056,008.43,Erythromycin Ethylsuccinate,Intestinal infection due to campylobacter
10864,008.43,Troleandomycin,Intestinal infection due to campylobacter
4053,008.43,Erythromycin,Intestinal infection due to campylobacter
899448,008.43,lettuce allergenic extract,Intestinal infection due to campylobacter
2551,008.43,Ciprofloxacin,Intestinal infection due to campylobacter
24347,008.43,erythromycin lactobionate,Intestinal infection due to campylobacter
892653,008.43,chicken allergenic extract,Intestinal infection due to campylobacter
4055,008.43,Erythromycin Estolate,Intestinal infection due to campylobacter
11124,008.45,Vancomycin,Intestinal infection due to clostridium difficile
2685,008.45,Colestipol,Intestinal infection due to clostridium difficile
11417,008.45,bacitracin zinc,Intestinal infection due to clostridium difficile
104485,008.45,Colestipol Hydrochloride,Intestinal infection due to clostridium difficile
2447,008.45,Cholestyramine Resin,Intestinal infection due to clostridium difficile
6922,008.45,Metronidazole,Intestinal infection due to clostridium difficile
141626,008.45,colesevelam,Intestinal infection due to clostridium difficile
141625,008.45,Colesevelam hydrochloride,Intestinal infection due to clostridium difficile
1291,008.45,Bacitracin,Intestinal infection due to clostridium difficile
11248,008.5,Vitamin B 12,Bacterial enteritis; unspecified
6218,008.5,Lactulose,Bacterial enteritis; unspecified
5514,008.5,Hydroxocobalamin,Bacterial enteritis; unspecified
805573,008.61,Rotavirus Vaccine  Live Attenuated  G1P[8] Human 89-12 strain,Enteritis due to rotavirus
2551,009.0,Ciprofloxacin,Infectious colitis; enteritis; and gastroenteritis
899378,009.0,blackberry allergenic extract,Infectious colitis; enteritis; and gastroenteritis
236782,009.0,Saccharomyces boulardii,Infectious colitis; enteritis; and gastroenteritis
892653,009.0,chicken allergenic extract,Infectious colitis; enteritis; and gastroenteritis
9601,009.0,Scopolamine,Infectious colitis; enteritis; and gastroenteritis
10831,009.0,Sulfamethoxazole / Trimethoprim,Infectious colitis; enteritis; and gastroenteritis
6922,009.0,Metronidazole,Infectious colitis; enteritis; and gastroenteritis
9603,009.0,Scopolamine Hydrobromide,Infectious colitis; enteritis; and gastroenteritis
2709,009.0,Colistin,Infectious colitis; enteritis; and gastroenteritis
18631,009.0,Azithromycin,Infectious colitis; enteritis; and gastroenteritis
1246101,009.0,POMEGRANATE FRUIT EXTRACT,Infectious colitis; enteritis; and gastroenteritis
10829,009.0,Trimethoprim,Infectious colitis; enteritis; and gastroenteritis
153970,009.0,Hyoscyamine,Infectious colitis; enteritis; and gastroenteritis
221134,009.0,opium tincture,Infectious colitis; enteritis; and gastroenteritis
10180,009.0,Sulfamethoxazole,Infectious colitis; enteritis; and gastroenteritis
7676,009.0,Opium,Infectious colitis; enteritis; and gastroenteritis
8628,009.0,Praziquantel,Infectious colitis; enteritis; and gastroenteritis
891611,009.0,coconut allergenic extract,Infectious colitis; enteritis; and gastroenteritis
38685,009.0,trimethobenzamide,Infectious colitis; enteritis; and gastroenteritis
57227,009.0,Trimethobenzamide hydrochloride,Infectious colitis; enteritis; and gastroenteritis
31819,009.0,nitazoxanide,Infectious colitis; enteritis; and gastroenteritis
602738,009.0,Saccharomyces boulardii lyo,Infectious colitis; enteritis; and gastroenteritis
7934,009.0,Paromomycin,Infectious colitis; enteritis; and gastroenteritis
3640,009.0,Doxycycline,Infectious colitis; enteritis; and gastroenteritis
733,009.0,Ampicillin,Infectious colitis; enteritis; and gastroenteritis
9601,009.2,Scopolamine,Infectious diarrhea
18631,009.2,Azithromycin,Infectious diarrhea
4601,009.2,Furazolidone,Infectious diarrhea
82122,009.2,Levofloxacin,Infectious diarrhea
9603,009.2,Scopolamine Hydrobromide,Infectious diarrhea
602738,009.2,Saccharomyces boulardii lyo,Infectious diarrhea
221134,009.2,opium tincture,Infectious diarrhea
1246101,009.2,POMEGRANATE FRUIT EXTRACT,Infectious diarrhea
6922,009.2,Metronidazole,Infectious diarrhea
35619,009.2,rifaximin,Infectious diarrhea
2551,009.2,Ciprofloxacin,Infectious diarrhea
891611,009.2,coconut allergenic extract,Infectious diarrhea
153970,009.2,Hyoscyamine,Infectious diarrhea
7676,009.2,Opium,Infectious diarrhea
733,009.2,Ampicillin,Infectious diarrhea
19478,009.2,bismuth subsalicylate,Infectious diarrhea
31819,009.2,nitazoxanide,Infectious diarrhea
236782,009.2,Saccharomyces boulardii,Infectious diarrhea
899378,009.2,blackberry allergenic extract,Infectious diarrhea
18516,009.2,attapulgite,Infectious diarrhea
6205,009.2,Lactobacillus acidophilus,Infectious diarrhea
6902,011,Methylprednisolone,Pulmonary tuberculosis
8640,011,Prednisone,Pulmonary tuberculosis
8638,011,prednisolone,Pulmonary tuberculosis
7623,011,Ofloxacin,Pulmonary tuberculosis
35617,011,rifapentine,Pulmonary tuberculosis
2878,011,Cortisone,Pulmonary tuberculosis
1514,011,Betamethasone,Pulmonary tuberculosis
55672,011,Rifabutin,Pulmonary tuberculosis
265647,011,Garlic preparation,Pulmonary tuberculosis
8948,011,Purified Protein Derivative of Tuberculin,Pulmonary tuberculosis
3264,011,Dexamethasone,Pulmonary tuberculosis
82122,011,Levofloxacin,Pulmonary tuberculosis
214662,011,isoniazid / Pyrazinamide / Rifampin,Pulmonary tuberculosis
899414,011,garlic allergenic extract,Pulmonary tuberculosis
10759,011,Triamcinolone,Pulmonary tuberculosis
4110,011,Ethambutol,Pulmonary tuberculosis
106876,011,isoniazid / Rifampin,Pulmonary tuberculosis
5492,011,Hydrocortisone,Pulmonary tuberculosis
10109,011,Streptomycin,Pulmonary tuberculosis
236344,011,Saw palmetto extract,Pulmonary tuberculosis
10761,011,Triamcinolone Acetonide,Pulmonary tuberculosis
106876,011.9,isoniazid / Rifampin,Unspecified pulmonary tuberculosis
899414,011.9,garlic allergenic extract,Unspecified pulmonary tuberculosis
6902,011.9,Methylprednisolone,Unspecified pulmonary tuberculosis
55672,011.9,Rifabutin,Unspecified pulmonary tuberculosis
236344,011.9,Saw palmetto extract,Unspecified pulmonary tuberculosis
82122,011.9,Levofloxacin,Unspecified pulmonary tuberculosis
7623,011.9,Ofloxacin,Unspecified pulmonary tuberculosis
2878,011.9,Cortisone,Unspecified pulmonary tuberculosis
10109,011.9,Streptomycin,Unspecified pulmonary tuberculosis
1514,011.9,Betamethasone,Unspecified pulmonary tuberculosis
35617,011.9,rifapentine,Unspecified pulmonary tuberculosis
5492,011.9,Hydrocortisone,Unspecified pulmonary tuberculosis
214662,011.9,isoniazid / Pyrazinamide / Rifampin,Unspecified pulmonary tuberculosis
10761,011.9,Triamcinolone Acetonide,Unspecified pulmonary tuberculosis
4110,011.9,Ethambutol,Unspecified pulmonary tuberculosis
8638,011.9,prednisolone,Unspecified pulmonary tuberculosis
3264,011.9,Dexamethasone,Unspecified pulmonary tuberculosis
8948,011.9,Purified Protein Derivative of Tuberculin,Unspecified pulmonary tuberculosis
8640,011.9,Prednisone,Unspecified pulmonary tuberculosis
10759,011.9,Triamcinolone,Unspecified pulmonary tuberculosis
265647,011.9,Garlic preparation,Unspecified pulmonary tuberculosis
113374,011.90,aminosalicylate,Unspecified pulmonary tuberculosis; unspecified examination
1010954,011.90,licorice allergenic extract,Unspecified pulmonary tuberculosis; unspecified examination
2915,011.90,Creosote,Unspecified pulmonary tuberculosis; unspecified examination
82122,011.90,Levofloxacin,Unspecified pulmonary tuberculosis; unspecified examination
23088,011.90,dihydrocodeine,Unspecified pulmonary tuberculosis; unspecified examination
10432,011.90,Thalidomide,Unspecified pulmonary tuberculosis; unspecified examination
8987,011.90,Pyrazinamide,Unspecified pulmonary tuberculosis; unspecified examination
59768,011.90,pegademase bovine,Unspecified pulmonary tuberculosis; unspecified examination
10761,011.90,Triamcinolone Acetonide,Unspecified pulmonary tuberculosis; unspecified examination
3007,011.90,Cycloserine,Unspecified pulmonary tuberculosis; unspecified examination
10109,011.90,Streptomycin,Unspecified pulmonary tuberculosis; unspecified examination
5492,011.90,Hydrocortisone,Unspecified pulmonary tuberculosis; unspecified examination
8640,011.90,Prednisone,Unspecified pulmonary tuberculosis; unspecified examination
76469,011.90,BCG  Live  Connaught Strain,Unspecified pulmonary tuberculosis; unspecified examination
214662,011.90,isoniazid / Pyrazinamide / Rifampin,Unspecified pulmonary tuberculosis; unspecified examination
78903,011.90,Capreomycin,Unspecified pulmonary tuberculosis; unspecified examination
2890,011.90,Cosyntropin,Unspecified pulmonary tuberculosis; unspecified examination
862475,011.90,goat milk allergenic extract,Unspecified pulmonary tuberculosis; unspecified examination
1244014,011.90,vitamin D3,Unspecified pulmonary tuberculosis; unspecified examination
2418,011.90,Cholecalciferol,Unspecified pulmonary tuberculosis; unspecified examination
4127,011.90,Ethionamide,Unspecified pulmonary tuberculosis; unspecified examination
643,011.90,Amikacin Sulfate,Unspecified pulmonary tuberculosis; unspecified examination
104966,011.90,dihydrocodeine bitartrate,Unspecified pulmonary tuberculosis; unspecified examination
197,011.90,Acetylcysteine,Unspecified pulmonary tuberculosis; unspecified examination
3264,011.90,Dexamethasone,Unspecified pulmonary tuberculosis; unspecified examination
106876,011.90,isoniazid / Rifampin,Unspecified pulmonary tuberculosis; unspecified examination
684879,011.90,pyridoxine,Unspecified pulmonary tuberculosis; unspecified examination
142435,011.90,Ethambutol Hydrochloride,Unspecified pulmonary tuberculosis; unspecified examination
899414,011.90,garlic allergenic extract,Unspecified pulmonary tuberculosis; unspecified examination
8948,011.90,Purified Protein Derivative of Tuberculin,Unspecified pulmonary tuberculosis; unspecified examination
7833,011.90,aminosalicylic acid,Unspecified pulmonary tuberculosis; unspecified examination
641,011.90,Amikacin,Unspecified pulmonary tuberculosis; unspecified examination
265647,011.90,Garlic preparation,Unspecified pulmonary tuberculosis; unspecified examination
55672,011.90,Rifabutin,Unspecified pulmonary tuberculosis; unspecified examination
8638,011.90,prednisolone,Unspecified pulmonary tuberculosis; unspecified examination
1151,011.90,Ascorbic Acid,Unspecified pulmonary tuberculosis; unspecified examination
42769,011.90,Licorice,Unspecified pulmonary tuberculosis; unspecified examination
6902,011.90,Methylprednisolone,Unspecified pulmonary tuberculosis; unspecified examination
42954,011.90,Vitamin B6,Unspecified pulmonary tuberculosis; unspecified examination
139462,011.90,moxifloxacin,Unspecified pulmonary tuberculosis; unspecified examination
6038,011.90,isoniazid,Unspecified pulmonary tuberculosis; unspecified examination
55062,011.90,Prednisolone sodium phosphate,Unspecified pulmonary tuberculosis; unspecified examination
35617,011.90,rifapentine,Unspecified pulmonary tuberculosis; unspecified examination
4110,011.90,Ethambutol,Unspecified pulmonary tuberculosis; unspecified examination
2878,011.90,Cortisone,Unspecified pulmonary tuberculosis; unspecified examination
190376,011.90,linezolid,Unspecified pulmonary tuberculosis; unspecified examination
236344,011.90,Saw palmetto extract,Unspecified pulmonary tuberculosis; unspecified examination
9384,011.90,Rifampin,Unspecified pulmonary tuberculosis; unspecified examination
9873,011.90,Sodium Fluoride,Unspecified pulmonary tuberculosis; unspecified examination
1514,011.90,Betamethasone,Unspecified pulmonary tuberculosis; unspecified examination
10759,011.90,Triamcinolone,Unspecified pulmonary tuberculosis; unspecified examination
7623,011.90,Ofloxacin,Unspecified pulmonary tuberculosis; unspecified examination
195085,011.90,efavirenz,Unspecified pulmonary tuberculosis; unspecified examination
221050,011.90,BCG  Live  Tice Strain,Unspecified pulmonary tuberculosis; unspecified examination
1886,011.90,Caffeine,Unspecified pulmonary tuberculosis; unspecified examination
10761,013.0,Triamcinolone Acetonide,Tuberculous meningitis
3264,013.0,Dexamethasone,Tuberculous meningitis
10759,013.0,Triamcinolone,Tuberculous meningitis
8987,013.0,Pyrazinamide,Tuberculous meningitis
8640,013.0,Prednisone,Tuberculous meningitis
8638,013.0,prednisolone,Tuberculous meningitis
5492,013.0,Hydrocortisone,Tuberculous meningitis
1514,013.0,Betamethasone,Tuberculous meningitis
6902,013.0,Methylprednisolone,Tuberculous meningitis
2878,013.0,Cortisone,Tuberculous meningitis
1514,013.00,Betamethasone,Tuberculous meningitis unspecified examination
6902,013.00,Methylprednisolone,Tuberculous meningitis unspecified examination
10759,013.00,Triamcinolone,Tuberculous meningitis unspecified examination
8987,013.00,Pyrazinamide,Tuberculous meningitis unspecified examination
2878,013.00,Cortisone,Tuberculous meningitis unspecified examination
8640,013.00,Prednisone,Tuberculous meningitis unspecified examination
3264,013.00,Dexamethasone,Tuberculous meningitis unspecified examination
8638,013.00,prednisolone,Tuberculous meningitis unspecified examination
5492,013.00,Hydrocortisone,Tuberculous meningitis unspecified examination
10761,013.00,Triamcinolone Acetonide,Tuberculous meningitis unspecified examination
40254,017.00,Valproate,Tuberculosis of skin and subcutaneous cellular tissue; unspecified examination
10014,017.00,Squalene,Tuberculosis of skin and subcutaneous cellular tissue; unspecified examination
2653,017.00,Cocaine,Tuberculosis of skin and subcutaneous cellular tissue; unspecified examination
54214,017.00,OspA protein,Tuberculosis of skin and subcutaneous cellular tissue; unspecified examination
11118,017.00,Valproic Acid,Tuberculosis of skin and subcutaneous cellular tissue; unspecified examination
3143,017.00,dehydroepiandrosterone,Tuberculosis of skin and subcutaneous cellular tissue; unspecified examination
3640,020,Doxycycline,Plague
10627,020,Tobramycin,Plague
3154,020,Demeclocycline,Plague
2418,020,Cholecalciferol,Plague
891611,020,coconut allergenic extract,Plague
892368,020,carrot allergenic extract,Plague
901337,020,rice allergenic extract,Plague
33199,020,Permethrin,Plague
892499,020,tomato allergenic extract,Plague
852826,020,house dust mite extract  Dermatophagoides pteronyssinus,Plague
1011043,020,horseradish allergenic extract,Plague
10109,020,Streptomycin,Plague
852810,020,house dust mite extract  Dermatophagoides farinae,Plague
299081,020,spinosad,Plague
81993,020,Demeclocycline Hydrochloride,Plague
851732,020,Acacia pollen extract,Plague
8345,020,Piperonyl Butoxide,Plague
318340,020,Aloe vera preparation,Plague
8175,020,Phenylpropanolamine,Plague
813859,020,rabbit allergenic extract,Plague
1010932,020,leek allergenic extract,Plague
6980,020,Minocycline,Plague
972601,020,eggplant allergenic extract,Plague
1244014,020,vitamin D3,Plague
899382,020,blueberry allergenic extract,Plague
23663,020,doxycycline hyclate,Plague
905258,020,American cockroach allergenic extract,Plague
892543,020.0,codfish allergenic extract,Bubonic plague
11423,020.0,Zinc Oxide,Bubonic plague
318340,020.9,Aloe vera preparation,Plague NOS
899382,020.9,blueberry allergenic extract,Plague NOS
905258,020.9,American cockroach allergenic extract,Plague NOS
8345,020.9,Piperonyl Butoxide,Plague NOS
8175,020.9,Phenylpropanolamine,Plague NOS
851732,020.9,Acacia pollen extract,Plague NOS
3640,020.9,Doxycycline,Plague NOS
299081,020.9,spinosad,Plague NOS
891611,020.9,coconut allergenic extract,Plague NOS
23663,020.9,doxycycline hyclate,Plague NOS
852810,020.9,house dust mite extract  Dermatophagoides farinae,Plague NOS
892368,020.9,carrot allergenic extract,Plague NOS
81993,020.9,Demeclocycline Hydrochloride,Plague NOS
3154,020.9,Demeclocycline,Plague NOS
1244014,020.9,vitamin D3,Plague NOS
901337,020.9,rice allergenic extract,Plague NOS
972601,020.9,eggplant allergenic extract,Plague NOS
10627,020.9,Tobramycin,Plague NOS
892499,020.9,tomato allergenic extract,Plague NOS
813859,020.9,rabbit allergenic extract,Plague NOS
6980,020.9,Minocycline,Plague NOS
1011043,020.9,horseradish allergenic extract,Plague NOS
852826,020.9,house dust mite extract  Dermatophagoides pteronyssinus,Plague NOS
1010932,020.9,leek allergenic extract,Plague NOS
2418,020.9,Cholecalciferol,Plague NOS
10109,020.9,Streptomycin,Plague NOS
33199,020.9,Permethrin,Plague NOS
81993,021,Demeclocycline Hydrochloride,Tularemia
2551,021,Ciprofloxacin,Tularemia
10109,021,Streptomycin,Tularemia
6857,021,Methoxyflurane,Tularemia
813859,021,rabbit allergenic extract,Tularemia
892632,021,potato allergenic extract,Tularemia
3640,021,Doxycycline,Tularemia
6980,021,Minocycline,Tularemia
10355,021,Temazepam,Tularemia
8183,021,Phenytoin,Tularemia
142446,021,tetracycline hydrochloride,Tularemia
11253,021,Vitamin D,Tularemia
2348,021,Chloramphenicol,Tularemia
10395,021,Tetracycline,Tularemia
4018,021,Ergocalciferol,Tularemia
7821,021,Oxytetracycline,Tularemia
142438,021,Gentamicin Sulfate (USP),Tularemia
3154,021,Demeclocycline,Tularemia
1705,021,Boron,Tularemia
384455,021,tigecycline,Tularemia
236466,021,Pygeum Africanum Preparation,Tularemia
23663,021,doxycycline hyclate,Tularemia
142438,021.9,Gentamicin Sulfate (USP),Tularemia NOS
892632,021.9,potato allergenic extract,Tularemia NOS
3640,021.9,Doxycycline,Tularemia NOS
10395,021.9,Tetracycline,Tularemia NOS
7821,021.9,Oxytetracycline,Tularemia NOS
6980,021.9,Minocycline,Tularemia NOS
2348,021.9,Chloramphenicol,Tularemia NOS
813859,021.9,rabbit allergenic extract,Tularemia NOS
10355,021.9,Temazepam,Tularemia NOS
142446,021.9,tetracycline hydrochloride,Tularemia NOS
23663,021.9,doxycycline hyclate,Tularemia NOS
2551,021.9,Ciprofloxacin,Tularemia NOS
236466,021.9,Pygeum Africanum Preparation,Tularemia NOS
1705,021.9,Boron,Tularemia NOS
384455,021.9,tigecycline,Tularemia NOS
4018,021.9,Ergocalciferol,Tularemia NOS
81993,021.9,Demeclocycline Hydrochloride,Tularemia NOS
3154,021.9,Demeclocycline,Tularemia NOS
6857,021.9,Methoxyflurane,Tularemia NOS
8183,021.9,Phenytoin,Tularemia NOS
11253,021.9,Vitamin D,Tularemia NOS
10109,021.9,Streptomycin,Tularemia NOS
2551,022,Ciprofloxacin,Anthrax
6980,022,Minocycline,Anthrax
142446,022,tetracycline hydrochloride,Anthrax
228041,022,Echinacea Preparation,Anthrax
3640,022,Doxycycline,Anthrax
82122,022,Levofloxacin,Anthrax
3498,022,Diphenhydramine,Anthrax
7980,022,Penicillin G,Anthrax
23663,022,doxycycline hyclate,Anthrax
203133,022,Penicillin G Potassium,Anthrax
139462,022,moxifloxacin,Anthrax
10395,022,Tetracycline,Anthrax
