 disease,code
Primary tuberculous infection_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0100
Primary tuberculous infection_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0100
Tuberculous pleurisy in primary progressive tuberculosis_ unspecified,0101
Tuberculous pleurisy in primary progressive tuberculosis_ bacteriological or histological examination not done,0101
Tuberculous pleurisy in primary progressive tuberculosis_ bacteriological or histological examination unknown (at present),0101
Tuberculous pleurisy in primary progressive tuberculosis_ tubercle bacilli found (in sputum) by microscopy,0101
Tuberculous pleurisy in primary progressive tuberculosis_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0101
Tuberculous pleurisy in primary progressive tuberculosis_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0101
Tuberculous pleurisy in primary progressive tuberculosis_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0101
Other primary progressive tuberculosis_ unspecified,0108
Other primary progressive tuberculosis_ bacteriological or histological examination not done,0108
Other primary progressive tuberculosis_ bacteriological or histological examination unknown (at present),0108
Other primary progressive tuberculosis_ tubercle bacilli found (in sputum) by microscopy,0108
Other primary progressive tuberculosis_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0108
Other primary progressive tuberculosis_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0108
Other primary progressive tuberculosis_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0108
Primary tuberculous infection_ unspecified_ unspecified,0109
Primary tuberculous infection_ unspecified_ bacteriological or histological examination not done,0109
Primary tuberculous infection_ unspecified_ bacteriological or histological examination unknown (at present),0109
Primary tuberculous infection_ unspecified_ tubercle bacilli found (in sputum) by microscopy,0109
Primary tuberculous infection_ unspecified_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0109
Primary tuberculous infection_ unspecified_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0109
Primary tuberculous infection_ unspecified_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0109
Tuberculosis of lung_ infiltrative_ unspecified,0110
Tuberculosis of lung_ infiltrative_ bacteriological or histological examination not done,0110
Tuberculosis of lung_ infiltrative_ bacteriological or histological examination unknown (at present),0110
Tuberculosis of lung_ infiltrative_ tubercle bacilli found (in sputum) by microscopy,0110
Tuberculosis of lung_ infiltrative_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0110
Tuberculosis of lung_ infiltrative_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0110
Tuberculosis of lung_ infiltrative_ tubercle bacilli not found bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0110
Tuberculosis of lung_ nodular_ unspecified,0111
Tuberculosis of lung_ nodular_ bacteriological or histological examination not done,0111
Tuberculosis of lung_ nodular_ bacteriological or histological examination unknown (at present),0111
Tuberculosis of lung_ nodular_ tubercle bacilli found (in sputum) by microscopy,0111
Tuberculosis of lung_ nodular_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0111
Tuberculosis of lung_ nodular_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0111
Tuberculosis of lung_ nodular_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0111
Tuberculosis of lung with cavitation_ unspecified,0112
Tuberculosis of lung with cavitation_ bacteriological or histological examination not done,0112
Tuberculosis of lung with cavitation_ bacteriological or histological examination unknown (at present),0112
Tuberculosis of lung with cavitation_ tubercle bacilli found (in sputum) by microscopy,0112
Tuberculosis of lung with cavitation_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0112
Tuberculosis of lung with cavitation_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0112
Tuberculosis of lung with cavitation_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0112
Tuberculosis of bronchus_ unspecified,0113
Tuberculosis of bronchus_ bacteriological or histological examination not done,0113
Tuberculosis of bronchus_ bacteriological or histological examination unknown (at present),0113
Tuberculosis of bronchus_ tubercle bacilli found (in sputum) by microscopy,0113
Tuberculosis of bronchus_ tubercle bacilli not found (in sputum) by microscopy_ but found in bacterial culture,0113
Tuberculosis of bronchus_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0113
Tuberculosis of bronchus_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0113
Tuberculous fibrosis of lung_ unspecified,0114
Tuberculous fibrosis of lung_ bacteriological or histological examination not done,0114
Tuberculous fibrosis of lung_ bacteriological or histological examination unknown (at present),0114
Tuberculous fibrosis of lung_ tubercle bacilli found (in sputum) by microscopy,0114
Tuberculous fibrosis of lung_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0114
Tuberculous fibrosis of lung_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0114
Tuberculous fibrosis of lung_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0114
Tuberculous bronchiectasis_ unspecified,0115
Tuberculous bronchiectasis_ bacteriological or histological examination not done,0115
Tuberculous bronchiectasis_ bacteriological or histological examination unknown (at present),0115
Tuberculous bronchiectasis_ tubercle bacilli found (in sputum) by microscopy,0115
Tuberculous bronchiectasis_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0115
Tuberculous bronchiectasis_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0115
Tuberculous bronchiectasis_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0115
Tuberculous pneumonia [any form]_ unspecified,0116
Tuberculous pneumonia [any form]_ bacteriological or histological examination not done,0116
Tuberculous pneumonia [any form]_ bacteriological or histological examination unknown (at present),0116
Tuberculous pneumonia [any form]_ tubercle bacilli found (in sputum) by microscopy,0116
Tuberculous pneumonia [any form]_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0116
Tuberculous pneumonia [any form]_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0116
Tuberculous pneumonia [any form]_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0116
Tuberculous pneumothorax_ unspecified,0117
Tuberculous pneumothorax_ bacteriological or histological examination not done,0117
Tuberculous pneumothorax_ bacteriological or histological examination unknown (at present),0117
Tuberculous pneumothorax_ tubercle bacilli found (in sputum) by microscopy,0117
Tuberculous pneumothorax_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0117
Tuberculous pneumothorax_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0117
Tuberculous pneumothorax_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0117
Other specified pulmonary tuberculosis_ unspecified,0118
Other specified pulmonary tuberculosis_ bacteriological or histological examination not done,0118
Other specified pulmonary tuberculosis_ bacteriological or histological examination unknown (at present),0118
Other specified pulmonary tuberculosis_ tubercle bacilli found (in sputum) by microscopy,0118
Other specified pulmonary tuberculosis_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0118
Other specified pulmonary tuberculosis_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0118
Other specified pulmonary tuberculosis_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0118
Pulmonary tuberculosis_ unspecified_ unspecified,0119
Pulmonary tuberculosis_ unspecified_ bacteriological or histological examination not done,0119
Pulmonary tuberculosis_ unspecified_ bacteriological or histological examination unknown (at present),0119
Pulmonary tuberculosis_ unspecified_ tubercle bacilli found (in sputum) by microscopy,0119
Pulmonary tuberculosis_ unspecified_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0119
Pulmonary tuberculosis_ unspecified_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0119
Pulmonary tuberculosis_ unspecified_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0119
Tuberculous pleurisy_ unspecified,0120
Tuberculous pleurisy_ bacteriological or histological examination not done,0120
Tuberculous pleurisy_ bacteriological or histological examination unknown (at present),0120
Tuberculous pleurisy_ tubercle bacilli found (in sputum) by microscopy,0120
Tuberculous pleurisy_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0120
Tuberculous pleurisy_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0120
Tuberculous pleurisy_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0120
Tuberculosis of intrathoracic lymph nodes_ unspecified,0121
Tuberculosis of intrathoracic lymph nodes_ bacteriological or histological examination not done,0121
Tuberculosis of intrathoracic lymph nodes_ bacteriological or histological examination unknown (at present),0121
Tuberculosis of intrathoracic lymph nodes_ tubercle bacilli found (in sputum) by microscopy,0121
Tuberculosis of intrathoracic lymph nodes_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0121
Tuberculosis of intrathoracic lymph nodes_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0121
Tuberculosis of intrathoracic lymph nodes_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0121
Isolated tracheal or bronchial tuberculosis_ unspecified,0122
Isolated tracheal or bronchial tuberculosis_ bacteriological or histological examination not done,0122
Isolated tracheal or bronchial tuberculosis_ bacteriological or histological examination unknown (at present),0122
Isolated tracheal or bronchial tuberculosis_ tubercle bacilli found (in sputum) by microscopy,0122
Isolated tracheal or bronchial tuberculosis_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0122
Isolated tracheal or bronchial tuberculosis_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0122
Isolated tracheal or bronchial tuberculosis_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0122
Tuberculous laryngitis_ unspecified,0123
Tuberculous laryngitis_ bacteriological or histological examination not done,0123
Tuberculous laryngitis_ bacteriological or histological examination unknown (at present),0123
Tuberculous laryngitis_ tubercle bacilli found (in sputum) by microscopy,0123
Tuberculous laryngitis_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0123
Tuberculous laryngitis_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0123
Tuberculous laryngitis_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0123
Other specified respiratory tuberculosis_ unspecified,0128
Other specified respiratory tuberculosis_ bacteriological or histological examination not done,0128
Other specified respiratory tuberculosis_ bacteriological or histological examination unknown (at present),0128
Other specified respiratory tuberculosis_ tubercle bacilli found (in sputum) by microscopy,0128
Other specified respiratory tuberculosis_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0128
Other specified respiratory tuberculosis_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0128
Other specified respiratory tuberculosis_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0128
Tuberculous meningitis_ unspecified,0130
Tuberculous meningitis_ bacteriological or histological examination not done,0130
Tuberculous meningitis_ bacteriological or histological examination unknown (at present),0130
Tuberculous meningitis_ tubercle bacilli found (in sputum) by microscopy,0130
Tuberculous meningitis_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0130
Tuberculous meningitis_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0130
Tuberculous meningitis_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0130
Tuberculoma of meninges_ unspecified,0131
Tuberculoma of meninges_ bacteriological or histological examination not done,0131
Tuberculoma of meninges_ bacteriological or histological examination unknown (at present),0131
Tuberculoma of meninges_ tubercle bacilli found (in sputum) by microscopy,0131
Tuberculoma of meninges_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0131
Tuberculoma of meninges_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0131
Tuberculoma of meninges_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0131
Tuberculoma of brain_ unspecified,0132
Tuberculoma of brain_ bacteriological or histological examination not done,0132
Tuberculoma of brain_ bacteriological or histological examination unknown (at present),0132
Tuberculoma of brain_ tubercle bacilli found (in sputum) by microscopy,0132
Tuberculoma of brain_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0132
Tuberculoma of brain_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0132
Tuberculoma of brain_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0132
Tuberculous abscess of brain_ unspecified,0133
Tuberculous abscess of brain_ bacteriological or histological examination not done,0133
Tuberculous abscess of brain_ bacteriological or histological examination unknown (at present),0133
Tuberculous abscess of brain_ tubercle bacilli found (in sputum) by microscopy,0133
Tuberculous abscess of brain_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0133
Tuberculous abscess of brain_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0133
Tuberculous abscess of brain_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0133
Tuberculoma of spinal cord_ unspecified,0134
Tuberculoma of spinal cord_ bacteriological or histological examination not done,0134
Tuberculoma of spinal cord_ bacteriological or histological examination unknown (at present),0134
Tuberculoma of spinal cord_ tubercle bacilli found (in sputum) by microscopy,0134
Tuberculoma of spinal cord_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0134
Tuberculoma of spinal cord_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0134
Tuberculoma of spinal cord_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0134
Tuberculous abscess of spinal cord_ unspecified,0135
Tuberculous abscess of spinal cord_ bacteriological or histological examination not done,0135
Tuberculous abscess of spinal cord_ bacteriological or histological examination unknown (at present),0135
Tuberculous abscess of spinal cord_ tubercle bacilli found (in sputum) by microscopy,0135
Tuberculous abscess of spinal cord_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0135
Tuberculous abscess of spinal cord_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0135
Tuberculous abscess of spinal cord_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0135
Tuberculous encephalitis or myelitis_ unspecified,0136
Tuberculous encephalitis or myelitis_ bacteriological or histological examination not done,0136
Tuberculous encephalitis or myelitis_ bacteriological or histological examination unknown (at present),0136
Tuberculous encephalitis or myelitis_ tubercle bacilli found (in sputum) by microscopy,0136
Tuberculous encephalitis or myelitis_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0136
Tuberculous encephalitis or myelitis_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0136
Tuberculous encephalitis or myelitis_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0136
Other specified tuberculosis of central nervous system_ unspecified,0138
Other specified tuberculosis of central nervous system_ bacteriological or histological examination not done,0138
Other specified tuberculosis of central nervous system_ bacteriological or histological examination unknown (at present),0138
Other specified tuberculosis of central nervous system_ tubercle bacilli found (in sputum) by microscopy,0138
Other specified tuberculosis of central nervous system_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0138
Other specified tuberculosis of central nervous system_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0138
Other specified tuberculosis of central nervous system_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0138
Unspecified tuberculosis of central nervous system_ unspecified,0139
Unspecified tuberculosis of central nervous system_ bacteriological or histological examination not done,0139
Unspecified tuberculosis of central nervous system_ bacteriological or histological examination unknown (at present),0139
Unspecified tuberculosis of central nervous system_ tubercle bacilli found (in sputum) by microscopy,0139
Unspecified tuberculosis of central nervous system_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0139
Unspecified tuberculosis of central nervous system_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0139
Unspecified tuberculosis of central nervous system_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0139
Tuberculous peritonitis_ unspecified,0140
Tuberculous peritonitis_ bacteriological or histological examination not done,0140
Tuberculous peritonitis_ bacteriological or histological examination unknown (at present),0140
Tuberculous peritonitis_ tubercle bacilli found (in sputum) by microscopy,0140
Tuberculous peritonitis_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0140
Tuberculous peritonitis_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0140
Tuberculous peritonitis_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0140
Other tuberculosis of intestines_ peritoneum_ and mesenteric glands_ unspecified,0148
Other tuberculosis of intestines_ peritoneum_ and mesenteric glands_ bacteriological or histological examination not done,0148
Other tuberculosis of intestines_ peritoneum_ and mesenteric glands_ bacteriological or histological examination unknown (at present),0148
Other tuberculosis of intestines_ peritoneum_ and mesenteric glands_ tubercle bacilli found (in sputum) by microscopy,0148
Other tuberculosis of intestines_ peritoneum_ and mesenteric glands_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0148
Other tuberculosis of intestines_ peritoneum_ and mesenteric glands_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0148
Other tuberculosis of intestines_ peritoneum_ and mesenteric glands_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0148
Tuberculosis of vertebral column_ unspecified,0150
Tuberculosis of vertebral column_ bacteriological or histological examination not done,0150
Tuberculosis of vertebral column_ bacteriological or histological examination unknown (at present),0150
Tuberculosis of vertebral column_ tubercle bacilli found (in sputum) by microscopy,0150
Tuberculosis of vertebral column_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0150
Tuberculosis of vertebral column_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0150
Tuberculosis of vertebral column_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0150
Tuberculosis of hip_ unspecified,0151
Tuberculosis of hip_ bacteriological or histological examination not done,0151
Tuberculosis of hip_ bacteriological or histological examination unknown (at present),0151
Tuberculosis of hip_ tubercle bacilli found (in sputum) by microscopy,0151
Tuberculosis of hip_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0151
Tuberculosis of hip_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0151
Tuberculosis of hip_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0151
Tuberculosis of knee_ unspecified,0152
Tuberculosis of knee_ bacteriological or histological examination not done,0152
Tuberculosis of knee_ bacteriological or histological examination unknown (at present),0152
Tuberculosis of knee_ tubercle bacilli found (in sputum) by microscopy,0152
Tuberculosis of knee_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0152
Tuberculosis of knee_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0152
Tuberculosis of knee_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0152
Tuberculosis of limb bones_ unspecified,0155
Tuberculosis of limb bones_ bacteriological or histological examination not done,0155
Tuberculosis of limb bones_ bacteriological or histological examination unknown (at present),0155
Tuberculosis of limb bones_ tubercle bacilli found (in sputum) by microscopy,0155
Tuberculosis of limb bones_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0155
Tuberculosis of limb bones_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0155
Tuberculosis of limb bones_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0155
Tuberculosis of mastoid_ unspecified,0156
Tuberculosis of mastoid_ bacteriological or histological examination not done,0156
Tuberculosis of mastoid_ bacteriological or histological examination unknown (at present),0156
Tuberculosis of mastoid_ tubercle bacilli found (in sputum) by microscopy,0156
Tuberculosis of mastoid_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0156
Tuberculosis of mastoid_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0156
Tuberculosis of mastoid_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0156
Tuberculosis of other specified bone_ unspecified,0157
Tuberculosis of other specified bone_ bacteriological or histological examination not done,0157
Tuberculosis of other specified bone_ bacteriological or histological examination unknown (at present),0157
Tuberculosis of other specified bone_ tubercle bacilli found (in sputum) by microscopy,0157
Tuberculosis of other specified bone_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0157
Tuberculosis of other specified bone_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0157
Tuberculosis of other specified bone_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0157
Tuberculosis of other specified joint_ unspecified,0158
Tuberculosis of other specified joint_ bacteriological or histological examination not done,0158
Tuberculosis of other specified joint_ bacteriological or histological examination unknown (at present),0158
Tuberculosis of other specified joint_ tubercle bacilli found (in sputum) by microscopy,0158
Tuberculosis of other specified joint_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0158
Tuberculosis of other specified joint_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0158
Tuberculosis of other specified joint_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0158
Tuberculosis of unspecified bones and joints_ unspecified,0159
Tuberculosis of unspecified bones and joints_ bacteriological or histological examination not done,0159
Tuberculosis of unspecified bones and joints_ bacteriological or histological examination unknown (at present),0159
Tuberculosis of unspecified bones and joints_ tubercle bacilli found (in sputum) by microscopy,0159
Tuberculosis of unspecified bones and joints_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0159
Tuberculosis of unspecified bones and joints_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0159
Tuberculosis of unspecified bones and joints_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0159
Tuberculosis of kidney_ unspecified,0160
Tuberculosis of kidney_ bacteriological or histological examination not done,0160
Tuberculosis of kidney_ bacteriological or histological examination unknown (at present),0160
Tuberculosis of kidney_ tubercle bacilli found (in sputum) by microscopy,0160
Tuberculosis of kidney_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0160
Tuberculosis of kidney_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0160
Tuberculosis of kidney_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0160
Tuberculosis of bladder_ unspecified,0161
Tuberculosis of bladder_ bacteriological or histological examination not done,0161
Tuberculosis of bladder_ bacteriological or histological examination unknown (at present),0161
Tuberculosis of bladder_ tubercle bacilli found (in sputum) by microscopy,0161
Tuberculosis of bladder_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0161
Tuberculosis of bladder_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0161
Tuberculosis of bladder_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0161
Tuberculosis of ureter_ unspecified,0162
Tuberculosis of ureter_ bacteriological or histological examination not done,0162
Tuberculosis of ureter_ bacteriological or histological examination unknown (at present),0162
Tuberculosis of ureter_ tubercle bacilli found (in sputum) by microscopy,0162
Tuberculosis of ureter_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0162
Tuberculosis of ureter_ tubercle bacilli not found by bacteriological examination_ but tuberculosis confirmed histologically,0162
Tuberculosis of ureter_ tubercle bacilli not found by bacteriological or histological examination_ but tuberculosis confirmed by other methods [inoculation of animals],0162
Tuberculosis of other urinary organs_ unspecified,0163
