DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION
008_6_2,Enteritis due to adenovirus,Intes infec adenovirus
008_6_3,Enteritis due to norwalk virus,Int inf norwalk virus
008_6_4,Enteritis due to other small round viruses [SRV's],Int inf oth sml rnd vrus
008_6_5,Enteritis due to calicivirus,Enteritis d/t calicivirs
008_6_6,Enteritis due to astrovirus,Intes infec astrovirus
008_6_7,Enteritis due to enterovirus nec,Int inf enterovirus NEC
008_6_9,Enteritis due to other viral enteritis,Other viral intes infec
008_8,"Intestinal infection due to other organism, not elsewhere classified",Viral enteritis NOS
009_0,"Infectious colitis, enteritis, and gastroenteritis",Infectious enteritis NOS
009_1,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",Enteritis of infect orig
009_2,Infectious diarrhea,Infectious diarrhea NOS
009_3,Diarrhea of presumed infectious origin,Diarrhea of infect orig
010_0_0,"Primary tuberculous infection, unspecified",Prim TB complex-unspec
010_0_1,"Primary tuberculous infection, bacteriological or histological examination not done",Prim TB complex-no exam
010_0_2,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",Prim TB complex-exm unkn
010_0_3,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",Prim TB complex-micro dx
010_0_4,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Prim TB complex-cult dx
010_0_5,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Prim TB complex-histo dx
010_0_6,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Prim TB complex-oth test
010_1_0,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",Prim TB pleurisy-unspec
010_1_1,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",Prim TB pleurisy-no exam
010_1_2,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",Prim TB pleur-exam unkn
010_1_3,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",Prim TB pleuris-micro dx
010_1_4,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Prim TB pleurisy-cult dx
010_1_5,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Prim TB pleuris-histo dx
010_1_6,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Prim TB pleuris-oth test
010_8_0,"Other primary progressive tuberculosis, unspecified",Prim prog TB NEC-unspec
010_8_1,"Other primary progressive tuberculosis, bacteriological or histological examination not done",Prim prog TB NEC-no exam
010_8_2,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",Prim pr TB NEC-exam unkn
010_8_3,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",Prim prg TB NEC-micro dx
010_8_4,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Prim prog TB NEC-cult dx
010_8_5,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Prim prg TB NEC-histo dx
010_8_6,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Prim prg TB NEC-oth test
010_9_0,"Primary tuberculous infection, unspecified, unspecified",Primary TB NOS-unspec
010_9_1,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",Primary TB NOS-no exam
010_9_2,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)",Primary TB NOS-exam unkn
010_9_3,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy",Primary TB NOS-micro dx
010_9_4,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Primary TB NOS-cult dx
010_9_5,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Primary TB NOS-histo dx
010_9_6,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Primary TB NOS-oth test
011_0_0,"Tuberculosis of lung, infiltrative, unspecified",TB lung infiltr-unspec
011_0_1,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",TB lung infiltr-no exam
011_0_2,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",TB lung infiltr-exm unkn
011_0_3,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy",TB lung infiltr-micro dx
011_0_4,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB lung infiltr-cult dx
011_0_5,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB lung infiltr-histo dx
011_0_6,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB lung infiltr-oth test
011_1_0,"Tuberculosis of lung, nodular, unspecified",TB lung nodular-unspec
011_1_1,"Tuberculosis of lung, nodular, bacteriological or histological examination not done",TB lung nodular-no exam
011_1_2,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)",TB lung nodul-exam unkn
011_1_3,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy",TB lung nodular-micro dx
011_1_4,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB lung nodular-cult dx
011_1_5,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB lung nodular-histo dx
011_1_6,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB lung nodular-oth test
011_2_0,"Tuberculosis of lung with cavitation, unspecified",TB lung w cavity-unspec
011_2_1,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done",TB lung w cavity-no exam
011_2_2,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)",TB lung cavity-exam unkn
011_2_3,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",TB lung w cavit-micro dx
011_2_4,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB lung w cavity-cult dx
011_2_5,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB lung w cavit-histo dx
011_2_6,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB lung w cavit-oth test
011_3_0,"Tuberculosis of bronchus, unspecified",TB of bronchus-unspec
011_3_1,"Tuberculosis of bronchus, bacteriological or histological examination not done",TB of bronchus-no exam
011_3_2,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",TB of bronchus-exam unkn
011_3_3,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy",TB of bronchus-micro dx
011_3_4,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture",TB of bronchus-cult dx
011_3_5,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB of bronchus-histo dx
011_3_6,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB of bronchus-oth test
011_4_0,"Tuberculous fibrosis of lung, unspecified",TB lung fibrosis-unspec
011_4_1,"Tuberculous fibrosis of lung, bacteriological or histological examination not done",TB lung fibrosis-no exam
011_4_2,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)",TB lung fibros-exam unkn
011_4_3,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy",TB lung fibros-micro dx
011_4_4,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB lung fibrosis-cult dx
011_4_5,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB lung fibros-histo dx
011_4_6,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB lung fibros-oth test
011_5_0,"Tuberculous bronchiectasis, unspecified",TB bronchiectasis-unspec
011_5_1,"Tuberculous bronchiectasis, bacteriological or histological examination not done",TB bronchiect-no exam
011_5_2,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)",TB bronchiect-exam unkn
011_5_3,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy",TB bronchiect-micro dx
011_5_4,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB bronchiect-cult dx
011_5_5,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB bronchiect-histo dx
011_5_6,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB bronchiect-oth test
011_6_0,"Tuberculous pneumonia [any form], unspecified",TB pneumonia-unspec
011_6_1,"Tuberculous pneumonia [any form], bacteriological or histological examination not done",TB pneumonia-no exam
011_6_2,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)",TB pneumonia-exam unkn
011_6_3,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy",TB pneumonia-micro dx
011_6_4,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB pneumonia-cult dx
011_6_5,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB pneumonia-histo dx
011_6_6,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB pneumonia-oth test
011_7_0,"Tuberculous pneumothorax, unspecified",TB pneumothorax-unspec
011_7_1,"Tuberculous pneumothorax, bacteriological or histological examination not done",TB pneumothorax-no exam
011_7_2,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)",TB pneumothorx-exam unkn
011_7_3,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy",TB pneumothorax-micro dx
011_7_4,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB pneumothorax-cult dx
011_7_5,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB pneumothorax-histo dx
011_7_6,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB pneumothorax-oth test
011_8_0,"Other specified pulmonary tuberculosis, unspecified",Pulmonary TB NEC-unspec
011_8_1,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done",Pulmonary TB NEC-no exam
011_8_2,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)",Pulmon TB NEC-exam unkn
011_8_3,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy",Pulmon TB NEC-micro dx
011_8_4,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Pulmon TB NEC-cult dx
011_8_5,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Pulmon TB NEC-histo dx
011_8_6,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Pulmon TB NEC-oth test
011_9_0,"Pulmonary tuberculosis, unspecified, unspecified",Pulmonary TB NOS-unspec
011_9_1,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done",Pulmonary TB NOS-no exam
011_9_2,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)",Pulmon TB NOS-exam unkn
011_9_3,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",Pulmon TB NOS-micro dx
011_9_4,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Pulmon TB NOS-cult dx
011_9_5,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Pulmon TB NOS-histo dx
011_9_6,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Pulmon TB NOS-oth test
012_0_0,"Tuberculous pleurisy, unspecified",TB pleurisy-unspec
012_0_1,"Tuberculous pleurisy, bacteriological or histological examination not done",TB pleurisy-no exam
012_0_2,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)",TB pleurisy-exam unkn
012_0_3,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy",TB pleurisy-micro dx
012_0_4,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB pleurisy-cult dx
012_0_5,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB pleurisy-histolog dx
012_0_6,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB pleurisy-oth test
012_1_0,"Tuberculosis of intrathoracic lymph nodes, unspecified",TB thoracic nodes-unspec
012_1_1,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done",TB thorax node-no exam
012_1_2,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)",TB thorax node-exam unkn
012_1_3,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy",TB thorax node-micro dx
012_1_4,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB thorax node-cult dx
012_1_5,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB thorax node-histo dx
012_1_6,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB thorax node-oth test
012_2_0,"Isolated tracheal or bronchial tuberculosis, unspecified",Isol tracheal tb-unspec
012_2_1,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done",Isol tracheal tb-no exam
012_2_2,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)",Isol trach tb-exam unkn
012_2_3,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy",Isolat trach tb-micro dx
012_2_4,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Isol tracheal tb-cult dx
012_2_5,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Isolat trach tb-histo dx
012_2_6,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Isolat trach tb-oth test
012_3_0,"Tuberculous laryngitis, unspecified",TB laryngitis-unspec
012_3_1,"Tuberculous laryngitis, bacteriological or histological examination not done",TB laryngitis-no exam
012_3_2,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)",TB laryngitis-exam unkn
012_3_3,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy",TB laryngitis-micro dx
012_3_4,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB laryngitis-cult dx
012_3_5,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB laryngitis-histo dx
012_3_6,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB laryngitis-oth test
012_8_0,"Other specified respiratory tuberculosis, unspecified",Resp TB NEC-unspec
012_8_1,"Other specified respiratory tuberculosis, bacteriological or histological examination not done",Resp TB NEC-no exam
012_8_2,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)",Resp TB NEC-exam unkn
012_8_3,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy",Resp TB NEC-micro dx
012_8_4,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Resp TB NEC-cult dx
012_8_5,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Resp TB NEC-histo dx
012_8_6,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Resp TB NEC-oth test
013_0_0,"Tuberculous meningitis, unspecified",TB meningitis-unspec
013_0_1,"Tuberculous meningitis, bacteriological or histological examination not done",TB meningitis-no exam
013_0_2,"Tuberculous meningitis, bacteriological or histological examination unknown (at present)",TB meningitis-exam unkn
013_0_3,"Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy",TB meningitis-micro dx
013_0_4,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB meningitis-cult dx
013_0_5,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB meningitis-histo dx
013_0_6,"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB meningitis-oth test
013_1_0,"Tuberculoma of meninges, unspecified",Tubrclma meninges-unspec
013_1_1,"Tuberculoma of meninges, bacteriological or histological examination not done",Tubrclma mening-no exam
013_1_2,"Tuberculoma of meninges, bacteriological or histological examination unknown (at present)",Tubrclma menin-exam unkn
013_1_3,"Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy",Tubrclma mening-micro dx
013_1_4,"Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Tubrclma mening-cult dx
013_1_5,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Tubrclma mening-histo dx
013_1_6,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Tubrclma mening-oth test
013_2_0,"Tuberculoma of brain, unspecified",Tuberculoma brain-unspec
013_2_1,"Tuberculoma of brain, bacteriological or histological examination not done",Tubrcloma brain-no exam
013_2_2,"Tuberculoma of brain, bacteriological or histological examination unknown (at present)",Tubrclma brain-exam unkn
013_2_3,"Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy",Tubrcloma brain-micro dx
013_2_4,"Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Tubrcloma brain-cult dx
013_2_5,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Tubrcloma brain-histo dx
013_2_6,"Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Tubrcloma brain-oth test
013_3_0,"Tuberculous abscess of brain, unspecified",TB brain abscess-unspec
013_3_1,"Tuberculous abscess of brain, bacteriological or histological examination not done",TB brain abscess-no exam
013_3_2,"Tuberculous abscess of brain, bacteriological or histological examination unknown (at present)",TB brain absc-exam unkn
013_3_3,"Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy",TB brain absc-micro dx
013_3_4,"Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB brain abscess-cult dx
013_3_5,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB brain absc-histo dx
013_3_6,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB brain absc-oth test
013_4_0,"Tuberculoma of spinal cord, unspecified",Tubrclma sp cord-unspec
013_4_1,"Tuberculoma of spinal cord, bacteriological or histological examination not done",Tubrclma sp cord-no exam
013_4_2,"Tuberculoma of spinal cord, bacteriological or histological examination unknown (at present)",Tubrclma sp cd-exam unkn
013_4_3,"Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy",Tubrclma sp crd-micro dx
013_4_4,"Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Tubrclma sp cord-cult dx
013_4_5,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Tubrclma sp crd-histo dx
013_4_6,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Tubrclma sp crd-oth test
013_5_0,"Tuberculous abscess of spinal cord, unspecified",TB sp crd abscess-unspec
013_5_1,"Tuberculous abscess of spinal cord, bacteriological or histological examination not done",TB sp crd absc-no exam
013_5_2,"Tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present)",TB sp crd absc-exam unkn
013_5_3,"Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy",TB sp crd absc-micro dx
013_5_4,"Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB sp crd absc-cult dx
013_5_5,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB sp crd absc-histo dx
013_5_6,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB sp crd absc-oth test
013_6_0,"Tuberculous encephalitis or myelitis, unspecified",TB encephalitis-unspec
013_6_1,"Tuberculous encephalitis or myelitis, bacteriological or histological examination not done",TB encephalitis-no exam
013_6_2,"Tuberculous encephalitis or myelitis, bacteriological or histological examination unknown (at present)",TB encephalit-exam unkn
013_6_3,"Tuberculous encephalitis or myelitis, tubercle bacilli found (in sputum) by microscopy",TB encephalitis-micro dx
013_6_4,"Tuberculous encephalitis or myelitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",TB encephalitis-cult dx
013_6_5,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",TB encephalitis-histo dx
013_6_6,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",TB encephalitis-oth test
013_8_0,"Other specified tuberculosis of central nervous system, unspecified",Cns TB NEC-unspec
013_8_1,"Other specified tuberculosis of central nervous system, bacteriological or histological examination not done",Cns TB NEC-no exam
013_8_2,"Other specified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)",Cns TB NEC-exam unkn
013_8_3,"Other specified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy",Cns TB NEC-micro dx
013_8_4,"Other specified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Cns TB NEC-cult dx
013_8_5,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Cns TB NEC-histo dx
013_8_6,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Cns TB NEC-oth test
013_9_0,"Unspecified tuberculosis of central nervous system, unspecified",Cns TB NOS-unspec
013_9_1,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination not done",Cns TB NOS-no exam
